Year/week,Freight units WB (RTM to KGH)
2012/01,1842
2012/02,2254
2012/03,2253
2012/04,2185
2012/05,1938
2012/06,2138
2012/07,2178
2012/08,2119
2012/09,2171
2012/10,2251
2012/11,2234
2012/12,
2012/13,
2012/14,2079
2012/15,1997
2012/16,2411
2012/17,2441
2012/18,1997
2012/19,2424
2012/20,2258
2012/21,2542
2012/22,1956
2012/23,2297
2012/24,2568
2012/25,2403
2012/26,2630
2012/27,2450
2012/28,2518
2012/29,2415
2012/30,2189
2012/31,2114
2012/32,2092
2012/33,1643
2012/34,1941
2012/35,2057
2012/36,2084
2012/37,2204
2012/38,2142
2012/39,2122
2012/40,2174
2012/41,2204
2012/42,2232
2012/43,2294
2012/44,1875
2012/45,2304
2012/46,2341
2012/47,2449
2012/48,2368
2012/49,2364
2012/50,2338
2012/51,2106
2012/52,906
2013/01,1029
2013/02,2029
2013/03,2181
2013/04,2119
2013/05,2054
2013/06,2158
2013/07,2140
2013/08,2164
2013/09,2191
2013/10,2256
2013/11,2290
2013/12,2376
2013/13,1734
2013/14,2169
2013/15,2178
2013/16,2341
2013/17,2378
2013/18,2034
2013/19,2001
2013/20,2342
2013/21,1968
2013/22,2338
2013/23,2339
2013/24,2505
2013/25,2482
2013/26,2350
2013/27,2310
2013/28,2398
2013/29,2545
2013/30,2326
2013/31,2244
2013/32,2191
2013/33,1805
2013/34,2052
2013/35,2232
2013/36,4098
2013/37,827
2013/38,2404
2013/39,2490
2013/40,2580
2013/41,2462
2013/42,2493
2013/43,2495
2013/44,2069
2013/45,2502
2013/46,2249
2013/47,2415
2013/48,2553
2013/49,2547
2013/50,2534
2013/51,2355
2013/52,906
2014/01,950
2014/02,2162
2014/03,2392
2014/04,2402
2014/05,2337
2014/06,2214
2014/07,2361
2014/08,2310
2014/09,2519
2014/10,2301
2014/11,2281
2014/12,2212
2014/13,2266
2014/14,2257
2014/15,2296
2014/16,1895
2014/17,2110
2014/18,2088
2014/19,2186
2014/20,2363
2014/21,2394
2014/22,2030
2014/23,2324
2014/24,2133
2014/25,2553
2014/26,2498
2014/27,2419
2014/28,2349
2014/29,2318
2014/30,2265
2014/31,0
2014/32,2107
2014/33,1870
2014/34,1988
2014/35,1974
2014/36,2221
2014/37,2172
2014/38,2242
2014/39,2273
2014/40,2300
2014/41,2251
2014/42,2292
2014/43,2155
2014/44,2307
2014/45,2199
2014/46,0
2014/47,2260
2014/48,2458
2014/49,1955
2014/50,2418
2014/51,1911
2014/52,782
2015/01,827
2015/02,1730
2015/03,1894
2015/04,2394
2015/05,2223
2015/06,2154
2015/07,2003
2015/08,2110
2015/09,2078
2015/10,2124
2015/11,2073
2015/12,2936
2015/13,2138
2015/14,1804
2015/15,1945
2015/16,2091
2015/17,2082
2015/18,1900
2015/19,2153
2015/20,1990
2015/21,2122
2015/22,2123
2015/23,2168
2015/24,2341
2015/25,2401
2015/26,2400
2015/27,2374
2015/28,2675
2015/29,2602
2015/30,2337
2015/31,2489
2015/32,2456
2015/33,2248
2015/34,1985
2015/35,2168
2015/36,2237
2015/37,2250
2015/38,2362
2015/39,2376
2015/40,2402
2015/41,2418
2015/42,2442
2015/43,2505
2015/44,2478
2015/45,2450
2015/46,2301
2015/47,2271
2015/48,2453
2015/49,2474
2015/50,2459
2015/51,2229
2015/52,1148
2015/53,1095
2016/01,1807
2016/02,2283
2016/03,2356
2016/04,2286
2016/05,2258
2016/06,2006
2016/07,2257
2016/08,2210
2016/09,2261
2016/10,2208
2016/11,2410
2016/12,1951
2016/13,2094
2016/14,2228
2016/15,2221
2016/16,2253
2016/17,2179
2016/18,2062
2016/19,2266
2016/20,2198
2016/21,2355
2016/22,2227
2016/23,2379
2016/24,2254
2016/25,2395
2016/26,2294
2016/27,2336
2016/28,2325
2016/29,2260
2016/30,2317
2016/31,2154
2016/32,2144
2016/33,1706
2016/34,2145
2016/35,2150
2016/36,2297
2016/37,2326
2016/38,2315
2016/39,2333
2016/40,2280
2016/41,2285
2016/42,2310
2016/43,2467
2016/44,2121
2016/45,2258
2016/46,2362
2016/47,2279
2016/48,2406
2016/49,2390
2016/50,2308
2016/51,1591
2016/52,1192
2017/01,1785
2017/02,2008
2017/03,2123
2017/04,2034
2017/05,2167
2017/06,2204
2017/07,2194
2017/08,2213
2017/09,2144
2017/10,2135
2017/11,2107
2017/12,2135
2017/14,2280
2017/15,1963
2017/16,2031
2017/17,2318
2017/18,1989
2017/19,2292
2017/20,2257
2017/21,2018
2017/22,2240
2017/23,2038
2017/24,2282
2017/25,2327
2017/26,2351
2017/27,2258
2017/28,2301
2017/29,2244
2017/30,2301
2017/31,2247
2017/32,2153
2017/33,1689
2017/34,1914
2017/35,2098
2017/36,2130
2017/37,2151
2017/38,2119
2017/39,2261
2017/40,2245
2017/41,2296
2017/42,2250
2017/43,2251
2017/44,2125
2017/45,2389
2017/46,2439
2017/47,2339
2017/48,2350
2017/49,2408
2017/50,2306
2017/51,1916
2017/52,987
2018/01,1418
2018/02,2122
2018/03,2254
2018/04,2228
2018/05,2173
2018/06,2409
2018/07,2166
2018/08,2352
2018/09,2250
2018/10,2342
2018/11,2312
2018/12,2284
2018/13,2144
2018/14,2046
2018/15,2381
2018/16,2322
2018/17,2339
2018/18,2016
2018/19,2141
2018/20,2251
2018/22,2366
2018/23,2678
2018/24,2364
2018/25,2410
2018/26,2439
2018/27,2405
2018/28,2657
2018/29,2658
2018/30,2578
2018/31,2355
2018/32,2310
2018/33,1992
2018/34,2173
2018/35,2254
2018/36,2362
2018/37,2279
2018/38,2306
2018/39,2266
2018/40,2213
2018/41,2331
2018/42,2317
2018/43,2260
2018/44,2084
2018/45,2281
2018/46,2284
2018/47,2369
2018/48,2337
2018/49,2334
2018/50,2353
2018/51,2114
2018/52,839
2019/01,1111
2019/02,2147
2019/03,2410
2019/04,2403
2019/05,2215
2019/06,2297
2019/07,2042
2019/08,2567
2019/09,2506
2019/10,2448
2019/11,2640
2019/12,2855
2019/13,2783
2019/14,2154
2019/15,2106
2019/16,1742
2019/17,1728
2019/18,1670
2019/19,2094
2019/20,2237
2019/21,2014
2019/22,1886
2019/23,2192
2019/24,1952
2019/25,2156
2019/26,2174
2019/27,2173
2019/28,2214
2019/29,2270
2019/30,1998
2019/31,2016
2019/32,2057
2019/33,1686
2019/34,1816
2019/35,2123
2019/36,2195
2019/37,2281
2019/38,2238
2019/39,2385
2019/40,2477
2019/41,2486
2019/42,2640
2019/43,2682
2019/44,1914
2019/45,2153
2019/46,2046
2019/47,2008
2019/48,2075
2019/49,2081
2019/50,2094
2019/51,1974
2019/52,687
2020/01,849
2020/02,1963
2020/03,2180
2020/04,2193
2020/05,2002
2020/06,2015
2020/07,2031
2020/08,2072
2020/09,2042
2020/10,2074
2020/11,2242
2020/12,2211
2020/13,1990
2020/14,1541
2020/15,1366
2020/16,1270
2020/17,1554
2020/18,1343
2020/19,1488
2020/20,1692
2020/21,1489
2020/22,1851
2020/23,1674
2020/24,1950
2020/25,1838
2020/26,1889
2020/27,1881
2020/28,2040
2020/29,2220
2020/30,2065
2020/31,2034
2020/32,2080
2020/33,2049
2020/34,1914
2020/35,1919
2020/36,2170
2020/37,2283
2020/38,2334
2020/39,2408
2020/40,2592
2020/41,2440
2020/42,2442
2020/43,2505
2020/44,2456
2020/45,2702
2020/46,2566
2020/47,2668
2020/48,2829
2020/49,2081
2020/50,2094
2020/51,1974
2020/52,687
